epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,11441.1,0.68007,0.50066,1.11975,0.91525,0.89378,0.94163,0.764,0.64676,0.40163,1.11515,0.003994,0.003994,0.003994
93,11564.9,0.67645,0.50353,1.11918,0.91229,0.89573,0.94284,0.76321,0.64527,0.40084,1.11656,0.003928,0.003928,0.003928
94,11689.2,0.66764,0.49863,1.11257,0.90328,0.89846,0.93847,0.75974,0.65004,0.40792,1.12159,0.003862,0.003862,0.003862
95,11812.4,0.66278,0.4931,1.10846,0.90412,0.89593,0.93893,0.7583,0.65875,0.41112,1.13038,0.003796,0.003796,0.003796
96,11935.2,0.66475,0.49358,1.10979,0.91464,0.89308,0.9415,0.76075,0.65535,0.40272,1.12667,0.00373,0.00373,0.00373
97,12058,0.65393,0.47924,1.10301,0.91489,0.88778,0.94,0.7636,0.6514,0.40295,1.12623,0.003664,0.003664,0.003664
98,12181.4,0.66203,0.48989,1.11365,0.92022,0.88653,0.94369,0.76279,0.64952,0.39884,1.12478,0.003598,0.003598,0.003598
99,12306.4,0.65345,0.47875,1.10431,0.91825,0.89439,0.94459,0.76332,0.65053,0.39839,1.12584,0.003532,0.003532,0.003532
100,12430.6,0.64791,0.47278,1.10086,0.92624,0.89162,0.94482,0.76544,0.65317,0.3993,1.13061,0.003466,0.003466,0.003466
101,12554.7,0.64266,0.46892,1.09912,0.93254,0.89351,0.94567,0.76658,0.65174,0.40038,1.13053,0.0034,0.0034,0.0034
102,12679.1,0.65083,0.47175,1.10507,0.93461,0.89506,0.94698,0.76546,0.65312,0.40194,1.13122,0.003334,0.003334,0.003334
103,12804.6,0.63768,0.46501,1.09765,0.93143,0.88523,0.94614,0.7659,0.65197,0.40279,1.12993,0.003268,0.003268,0.003268
104,12927.9,0.63899,0.46048,1.09695,0.93025,0.88614,0.94673,0.76525,0.65159,0.40022,1.1284,0.003202,0.003202,0.003202
105,13053,0.63235,0.4649,1.09408,0.92453,0.89313,0.94842,0.76758,0.65203,0.39806,1.12969,0.003136,0.003136,0.003136
106,13176.6,0.63144,0.45568,1.09052,0.92601,0.8895,0.94935,0.76759,0.65534,0.39512,1.13391,0.00307,0.00307,0.00307
107,13301.8,0.62905,0.45276,1.09266,0.92129,0.89034,0.94778,0.76694,0.6561,0.39704,1.13486,0.003004,0.003004,0.003004
108,13425.6,0.61952,0.44745,1.08233,0.91752,0.89242,0.94594,0.76465,0.65487,0.40369,1.13402,0.002938,0.002938,0.002938
109,13550.5,0.61911,0.44348,1.08386,0.92473,0.88313,0.94463,0.76353,0.65529,0.40713,1.13566,0.002872,0.002872,0.002872
110,13674.1,0.62142,0.44806,1.0871,0.90415,0.90057,0.94557,0.76471,0.65402,0.40131,1.13593,0.002806,0.002806,0.002806
111,13799.7,0.60955,0.44509,1.08221,0.91122,0.90015,0.94534,0.76467,0.65338,0.40347,1.13618,0.00274,0.00274,0.00274
112,13922.2,0.60893,0.43666,1.0802,0.92106,0.88811,0.94448,0.76553,0.6527,0.40312,1.13645,0.002674,0.002674,0.002674
113,14047.3,0.60883,0.43747,1.07733,0.93016,0.88216,0.94324,0.76531,0.65163,0.40506,1.13663,0.002608,0.002608,0.002608
114,14170.7,0.59928,0.43025,1.0738,0.93282,0.88269,0.94185,0.76416,0.65059,0.40621,1.13556,0.002542,0.002542,0.002542
115,14296.4,0.60444,0.43314,1.07533,0.93431,0.88131,0.94284,0.76417,0.65055,0.40593,1.13669,0.002476,0.002476,0.002476
116,14419.4,0.6012,0.42502,1.0724,0.93292,0.87932,0.94377,0.76444,0.65163,0.40795,1.13831,0.00241,0.00241,0.00241
117,14543.9,0.59324,0.4242,1.06918,0.92862,0.88226,0.94385,0.76257,0.65046,0.40918,1.13828,0.002344,0.002344,0.002344
118,14667.7,0.59362,0.42058,1.07004,0.92589,0.88306,0.94381,0.76389,0.65171,0.41231,1.13952,0.002278,0.002278,0.002278
119,14792.7,0.5841,0.41004,1.06984,0.92771,0.8806,0.94233,0.76459,0.65218,0.4142,1.14065,0.002212,0.002212,0.002212
120,14916.6,0.59428,0.42101,1.06906,0.93376,0.87028,0.94174,0.76342,0.65281,0.41391,1.1417,0.002146,0.002146,0.002146
121,15040.3,0.57832,0.4105,1.05958,0.93186,0.87035,0.94191,0.76349,0.65301,0.4143,1.1421,0.00208,0.00208,0.00208
122,15163.6,0.58078,0.41428,1.06663,0.92959,0.86851,0.94172,0.76389,0.6537,0.41575,1.14359,0.002014,0.002014,0.002014
123,15287.9,0.57679,0.40854,1.06053,0.91712,0.87957,0.93976,0.76369,0.65237,0.41521,1.14318,0.001948,0.001948,0.001948
124,15412,0.5751,0.40182,1.06348,0.91465,0.88258,0.93966,0.76292,0.65296,0.41552,1.14404,0.001882,0.001882,0.001882
125,15536.1,0.55965,0.39644,1.05347,0.90538,0.89151,0.94066,0.76273,0.65366,0.4154,1.14583,0.001816,0.001816,0.001816
126,15660.9,0.56453,0.39394,1.05342,0.8857,0.90478,0.93952,0.76231,0.65354,0.41588,1.14641,0.00175,0.00175,0.00175
127,15786.1,0.56344,0.39565,1.0541,0.89184,0.9029,0.9401,0.76229,0.65404,0.41546,1.1473,0.001684,0.001684,0.001684
128,15911,0.55894,0.39437,1.05281,0.89185,0.90461,0.93915,0.7625,0.65435,0.41758,1.14791,0.001618,0.001618,0.001618
129,16035.8,0.55023,0.38659,1.04572,0.89302,0.90672,0.94016,0.76133,0.6547,0.41915,1.14961,0.001552,0.001552,0.001552
130,16160.4,0.55578,0.38849,1.05071,0.88991,0.90464,0.93989,0.76163,0.65419,0.41866,1.15025,0.001486,0.001486,0.001486
131,16284.1,0.55447,0.38762,1.05109,0.88923,0.90198,0.93954,0.76211,0.65471,0.41946,1.15123,0.00142,0.00142,0.00142
132,16409.9,0.55236,0.37934,1.04647,0.901,0.89129,0.94004,0.7623,0.65627,0.41927,1.1543,0.001354,0.001354,0.001354
133,16533.6,0.54335,0.37792,1.0446,0.90441,0.88719,0.93877,0.76226,0.65644,0.41894,1.15531,0.001288,0.001288,0.001288
134,16658,0.54742,0.38219,1.04621,0.90982,0.883,0.93832,0.76212,0.65557,0.4202,1.15362,0.001222,0.001222,0.001222
135,16781.5,0.54034,0.37412,1.04453,0.91037,0.88318,0.93789,0.76138,0.65571,0.42035,1.15414,0.001156,0.001156,0.001156
136,16906.6,0.53245,0.36707,1.0359,0.923,0.87564,0.93848,0.76227,0.65598,0.42073,1.15461,0.00109,0.00109,0.00109
